trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPVIS2509030e1ba4fa,2025-09-03,AP01,repeated,17,265,7,8
TRPIND25090334686b18,2025-09-03,MP01,repeated,15,188,6,9
TRPJAI25090355c08354,2025-09-03,RJ01,new,38,683,10,10
TRPJAI250903bd95eaa8,2025-09-03,RJ01,repeated,30,547,9,10
TRPIND25090377df5628,2025-09-03,MP01,repeated,13,166,7,7
TRPJAI250903b4ef00da,2025-09-03,RJ01,new,44,785,9,9
TRPVAD250903c99f37f1,2025-09-03,GJ02,repeated,9,108,5,6
TRPMYS2509030b85a8c9,2025-09-03,KA01,new,9,170,10,10
TRPKOC250903d3f5713d,2025-09-03,KL01,new,32,479,10,10
TRPJAI25090338f9f533,2025-09-03,RJ01,new,16,309,10,10
TRPJAI250903cae749e5,2025-09-03,RJ01,repeated,29,530,8,10
TRPJAI2509034e502db1,2025-09-03,RJ01,new,39,700,8,8
TRPJAI25090354df8b9a,2025-09-03,RJ01,new,42,751,8,9
TRPIND2509032938b854,2025-09-03,MP01,new,20,243,10,7
TRPMYS250903bb9ea5c7,2025-09-03,KA01,new,25,410,9,9
TRPVAD250903af446a14,2025-09-03,GJ02,repeated,17,188,7,5
TRPIND25090374c425e6,2025-09-03,MP01,new,9,122,7,8
TRPMYS250903654ca8dd,2025-09-03,KA01,new,14,245,10,9
TRPCHA25090355f6ce6b,2025-09-03,CH01,repeated,35,481,6,7
TRPCHA250903f8e06d2b,2025-09-03,CH01,repeated,29,403,7,6
TRPLUC250903791800e3,2025-09-03,UP01,new,20,266,7,6
TRPCHA250903a301453f,2025-09-03,CH01,new,25,351,10,9
TRPMYS2509038d2199ba,2025-09-03,KA01,new,9,170,10,9
TRPJAI250903a7ae5fe0,2025-09-03,RJ01,new,32,581,10,10
TRPKOC250903b2375c7e,2025-09-03,KL01,repeated,38,563,8,10
TRPSUR2509038779b304,2025-09-03,GJ01,new,8,107,8,8
TRPCHA250903226611a4,2025-09-03,CH01,repeated,29,403,7,8
TRPSUR250903f6092e46,2025-09-03,GJ01,new,13,162,7,6
TRPLUC2509034c095726,2025-09-03,UP01,new,10,146,8,7
TRPSUR250903624cc844,2025-09-03,GJ01,new,9,118,9,7
TRPVIS250903436db618,2025-09-03,AP01,repeated,27,405,7,10
TRPCOI250903d9cafca7,2025-09-03,TN01,repeated,8,119,9,6
TRPIND25090345064c2e,2025-09-03,MP01,repeated,25,298,7,9
TRPJAI25090318b793ad,2025-09-03,RJ01,new,39,700,8,8
TRPIND250903566191ac,2025-09-03,MP01,new,19,232,10,8
TRPVAD250903a74bc39b,2025-09-03,GJ02,new,15,168,7,8
TRPJAI2509031c277e54,2025-09-03,RJ01,new,33,598,10,10
