trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPJAI2512311d4edb93,2025-12-31,RJ01,new,22,411,9,8
TRPCHA2512310db1cb77,2025-12-31,CH01,new,13,195,8,7
TRPSUR25123181fb3707,2025-12-31,GJ01,repeated,10,129,6,8
TRPLUC2512318aba40b2,2025-12-31,UP01,new,15,206,8,6
TRPKOC251231d3f682c8,2025-12-31,KL01,repeated,29,437,9,8
TRPJAI25123169862549,2025-12-31,RJ01,repeated,27,496,8,10
TRPCHA2512317b7ad430,2025-12-31,CH01,new,27,377,7,9
TRPJAI251231bfac4678,2025-12-31,RJ01,new,36,649,10,10
TRPLUC251231f996b10a,2025-12-31,UP01,repeated,5,86,6,8
TRPIND2512312ff07771,2025-12-31,MP01,repeated,10,133,6,6
TRPVAD25123156903c8a,2025-12-31,GJ02,repeated,16,178,6,6
TRPSUR2512314d535ef5,2025-12-31,GJ01,new,14,173,9,6
TRPCHA2512314a0d653d,2025-12-31,CH01,new,20,286,9,7
TRPJAI25123197f0a2b7,2025-12-31,RJ01,new,17,326,8,10
TRPKOC2512317df1aba8,2025-12-31,KL01,new,20,311,8,9
TRPJAI25123160c142f8,2025-12-31,RJ01,new,23,428,9,9
TRPIND2512317c2a57af,2025-12-31,MP01,repeated,9,122,7,8
TRPKOC2512310d559ffa,2025-12-31,KL01,new,26,395,10,9
TRPJAI251231e599bfdc,2025-12-31,RJ01,new,24,445,9,9
TRPKOC25123174d12a4f,2025-12-31,KL01,new,27,409,9,10
TRPVIS2512318db1aeda,2025-12-31,AP01,repeated,16,251,8,9
TRPVAD25123122485cd4,2025-12-31,GJ02,repeated,5,68,7,7
TRPJAI25123186f67111,2025-12-31,RJ01,repeated,21,394,7,10
TRPVAD2512318513ee49,2025-12-31,GJ02,new,14,158,7,6
TRPSUR251231e7fc9023,2025-12-31,GJ01,repeated,11,140,6,7
TRPCHA2512313456e15e,2025-12-31,CH01,repeated,34,468,6,6
TRPJAI25123114ded31a,2025-12-31,RJ01,new,25,462,9,8
TRPVIS25123133240b88,2025-12-31,AP01,repeated,16,251,7,9
TRPIND251231a78bfe6e,2025-12-31,MP01,repeated,21,254,8,9
TRPJAI251231357b1fff,2025-12-31,RJ01,new,17,326,8,10
TRPVAD2512311fa71bc9,2025-12-31,GJ02,repeated,14,158,5,6
TRPJAI25123162d52e77,2025-12-31,RJ01,repeated,30,547,7,10
TRPIND2512314363128a,2025-12-31,MP01,repeated,20,243,6,9
TRPSUR25123196a24ac7,2025-12-31,GJ01,repeated,16,195,6,6
TRPVIS251231ea0a81dc,2025-12-31,AP01,new,12,195,10,9
TRPCOI251231934b7a78,2025-12-31,TN01,new,17,227,8,9
TRPKOC25123133cfcfd7,2025-12-31,KL01,new,24,367,8,8
TRPMYS2512313b6b1d99,2025-12-31,KA01,new,24,395,10,10
TRPCHA25123198d514a5,2025-12-31,CH01,repeated,26,364,6,6
TRPJAI2512310ff786dd,2025-12-31,RJ01,repeated,23,428,7,10
TRPJAI2512316bb24c27,2025-12-31,RJ01,new,20,377,8,8
TRPKOC251231d809eafb,2025-12-31,KL01,repeated,33,493,9,9
TRPJAI2512311848ffce,2025-12-31,RJ01,new,28,513,9,9
TRPCHA25123154906793,2025-12-31,CH01,new,20,286,9,7
TRPVIS2512319cd46ae5,2025-12-31,AP01,new,22,335,10,9
TRPJAI2512317ef731cd,2025-12-31,RJ01,new,37,666,10,10
TRPMYS25123138cf04ed,2025-12-31,KA01,new,19,320,8,8
TRPCHA251231cc029a50,2025-12-31,CH01,repeated,26,364,8,6
TRPJAI2512311cdf31f4,2025-12-31,RJ01,repeated,38,683,9,8
TRPJAI251231a7359d17,2025-12-31,RJ01,repeated,45,802,7,10
TRPMYS2512310c6924ea,2025-12-31,KA01,new,19,320,8,8
TRPCHA251231a6db49aa,2025-12-31,CH01,repeated,30,416,8,7
TRPCHA2512319fe8f49a,2025-12-31,CH01,repeated,23,325,7,7
TRPIND25123184e59b23,2025-12-31,MP01,repeated,25,298,4,2
TRPCOI25123191d69d09,2025-12-31,TN01,repeated,19,251,9,7
TRPJAI25123195110ad6,2025-12-31,RJ01,new,26,479,9,10
TRPVIS2512318d48ace0,2025-12-31,AP01,new,27,405,9,9
TRPJAI2512310e8e2c66,2025-12-31,RJ01,repeated,23,428,8,9
TRPKOC2512318c7b4376,2025-12-31,KL01,repeated,23,353,7,8
TRPLUC2512311ac3e817,2025-12-31,UP01,repeated,20,266,6,8
TRPKOC251231935f38bb,2025-12-31,KL01,new,22,339,9,10
TRPIND25123154735f6b,2025-12-31,MP01,repeated,11,144,6,8
TRPLUC251231e728b3d1,2025-12-31,UP01,repeated,19,254,6,5
TRPCHA251231e375cb22,2025-12-31,CH01,new,22,312,9,9
TRPVIS251231b70e0410,2025-12-31,AP01,repeated,16,251,7,8
TRPCOI2512315af2317c,2025-12-31,TN01,new,12,167,9,8
TRPIND251231eef42f06,2025-12-31,MP01,repeated,14,177,8,8
TRPJAI251231b99d52c1,2025-12-31,RJ01,new,21,394,9,10
TRPJAI2512313bf11058,2025-12-31,RJ01,new,25,462,10,10
TRPIND251231b66fadc1,2025-12-31,MP01,repeated,21,254,8,6
TRPSUR251231c352842d,2025-12-31,GJ01,repeated,11,140,7,8
TRPKOC2512314cf5a76c,2025-12-31,KL01,repeated,13,213,9,9
TRPVIS251231ab84aab7,2025-12-31,AP01,repeated,32,475,8,8
TRPVAD251231b6c9a088,2025-12-31,GJ02,new,18,198,7,6
TRPLUC251231ec6c66c8,2025-12-31,UP01,repeated,5,86,5,5
TRPKOC25123140af0232,2025-12-31,KL01,new,25,381,9,8
TRPKOC2512318187089f,2025-12-31,KL01,new,19,297,8,8
TRPIND25123163768cb6,2025-12-31,MP01,new,15,188,10,7
TRPVAD25123131b967df,2025-12-31,GJ02,repeated,8,98,6,7
TRPCHA251231f081e15d,2025-12-31,CH01,new,19,273,7,7
TRPMYS251231d0c420fc,2025-12-31,KA01,new,21,350,8,8
TRPLUC25123178e8e8a0,2025-12-31,UP01,new,14,194,9,8
TRPLUC2512319a6b5eea,2025-12-31,UP01,new,13,182,7,6
TRPJAI2512317f61880f,2025-12-31,RJ01,repeated,16,309,9,9
TRPMYS2512311c051c8e,2025-12-31,KA01,new,21,350,10,9
TRPJAI2512312f907f6d,2025-12-31,RJ01,new,22,411,10,10
TRPVIS2512316eb2b601,2025-12-31,AP01,new,28,419,8,9
TRPLUC251231b0002648,2025-12-31,UP01,repeated,17,230,7,6
TRPVAD251231baaa5db7,2025-12-31,GJ02,repeated,11,128,7,5
TRPSUR25123151cd26b2,2025-12-31,GJ01,repeated,10,129,6,8
TRPJAI251231a7670d52,2025-12-31,RJ01,repeated,44,785,7,9
TRPMYS251231ba5506a1,2025-12-31,KA01,repeated,14,245,7,9
TRPIND251231e4d280de,2025-12-31,MP01,new,19,232,10,9
TRPJAI251231c88000ce,2025-12-31,RJ01,new,33,598,9,10
TRPLUC251231ba399ff1,2025-12-31,UP01,repeated,8,122,6,6
TRPCHA2512316ccbb5be,2025-12-31,CH01,new,35,481,7,9
TRPKOC25123113286435,2025-12-31,KL01,repeated,24,367,9,10
TRPMYS251231054b309a,2025-12-31,KA01,new,24,395,10,10
TRPLUC25123144e347fa,2025-12-31,UP01,repeated,8,122,6,5
TRPKOC251231e64e2f78,2025-12-31,KL01,new,15,241,9,10
TRPSUR25123144edee7f,2025-12-31,GJ01,repeated,8,107,6,5
TRPIND2512317115e869,2025-12-31,MP01,new,8,111,8,7
TRPKOC25123124e61afb,2025-12-31,KL01,repeated,29,437,9,10
TRPVAD251231284772df,2025-12-31,GJ02,new,13,148,7,8
TRPIND251231c6b6b7a9,2025-12-31,MP01,repeated,18,221,7,7
TRPCHA2512313046444a,2025-12-31,CH01,new,27,377,7,8
TRPIND251231c4ae2fa6,2025-12-31,MP01,new,20,243,9,8
TRPIND251231cf1d9190,2025-12-31,MP01,repeated,13,166,6,7
TRPIND251231d66fc86d,2025-12-31,MP01,repeated,15,188,8,9
TRPSUR251231503289c5,2025-12-31,GJ01,repeated,15,184,6,7
TRPIND251231c80c5cdb,2025-12-31,MP01,repeated,16,199,7,6
TRPVAD251231c3857efe,2025-12-31,GJ02,repeated,6,78,6,8
TRPLUC2512310b9d5f5e,2025-12-31,UP01,repeated,10,146,6,5
TRPIND251231193a02aa,2025-12-31,MP01,repeated,22,265,6,6
TRPMYS251231ddbbda5a,2025-12-31,KA01,new,15,260,9,9
TRPLUC2512315179cbc5,2025-12-31,UP01,repeated,5,86,7,8
TRPJAI251231584a50aa,2025-12-31,RJ01,new,44,785,9,9
TRPVIS251231732aa899,2025-12-31,AP01,new,27,405,9,8
TRPVAD251231622f4666,2025-12-31,GJ02,repeated,9,108,5,8
TRPIND251231b0b6b195,2025-12-31,MP01,new,9,122,7,7
TRPVIS25123147065532,2025-12-31,AP01,new,34,503,10,8
TRPLUC2512311e374e2e,2025-12-31,UP01,repeated,18,242,6,5
TRPKOC25123166ef3545,2025-12-31,KL01,new,27,409,9,9
TRPLUC25123192d30146,2025-12-31,UP01,repeated,15,206,5,8
TRPCHA251231b9f3ce96,2025-12-31,CH01,new,31,429,7,9
TRPVAD2512317f67d1a2,2025-12-31,GJ02,repeated,9,108,7,8
TRPIND2512318aacb0a1,2025-12-31,MP01,new,15,188,7,9
TRPJAI251231cd5d9a7e,2025-12-31,RJ01,new,25,462,9,8
TRPKOC251231681f7fe4,2025-12-31,KL01,new,13,213,8,9
TRPVIS2512310ad602b7,2025-12-31,AP01,repeated,18,279,8,10
TRPLUC25123111f30ef4,2025-12-31,UP01,repeated,19,254,7,7
TRPCOI25123125b03430,2025-12-31,TN01,repeated,10,143,8,7
TRPVAD2512319c37a551,2025-12-31,GJ02,repeated,9,108,7,5
TRPCHA251231d46da6eb,2025-12-31,CH01,repeated,17,247,8,7
TRPJAI251231ae4c1500,2025-12-31,RJ01,new,35,632,9,10
TRPLUC251231930b96bb,2025-12-31,UP01,repeated,18,242,5,6
